TEAM_NAME,3PT Attempts (Losses),3PT Attempts (Wins),3PT Made (Losses),3PT Made (Wins),3PT% (Losses),3PT% (Wins),Losses,Wins,Avg Points (Losses),Avg Points (Wins),Rebounds (Losses),Rebounds (Wins),Steals (Losses),Steals (Wins),Turnovers (Losses),Turnovers (Wins),Total_Games
Oklahoma City Thunder,41.43,38.65,12.86,13.48,0.31,0.35,7,31,110.14,115.19,43.14,44.68,9.57,12.26,10.71,11.42,38
Cleveland Cavaliers,39.12,40.72,12.25,16.93,0.32,0.42,8,29,114.12,123.55,44.25,44.31,8.12,9.31,13.12,12.76,37
New York Knicks,35.18,36.89,11.73,14.43,0.33,0.39,11,28,110.73,120.04,38.82,45.64,7.09,8.18,12.64,11.89,39
Boston Celtics,51.2,50.54,16.7,19.36,0.33,0.38,10,28,115.0,121.68,44.3,45.96,7.8,8.0,11.6,11.5,38
Memphis Grizzlies,36.77,40.0,11.31,15.77,0.31,0.39,13,26,110.54,127.73,47.54,49.31,8.92,9.35,18.31,16.38,39
Houston Rockets,37.92,36.0,11.67,12.12,0.31,0.33,12,25,105.17,117.8,45.83,51.4,8.25,8.84,12.67,13.68,37
LA Clippers,35.67,32.57,11.33,12.65,0.32,0.39,15,23,100.47,113.65,43.93,43.83,9.67,10.61,15.93,15.48,38
Golden State Warriors,42.06,41.0,14.12,15.68,0.33,0.38,16,22,104.12,117.18,44.69,48.86,9.0,8.73,14.44,13.73,38
Orlando Magic,35.88,37.29,9.35,12.67,0.26,0.34,17,21,97.82,111.86,39.47,43.76,9.53,9.57,16.35,13.9,38
Dallas Mavericks,34.76,35.24,12.0,14.0,0.34,0.39,17,21,108.53,121.05,40.65,47.48,7.76,9.14,14.53,14.24,38
Miami Heat,38.33,38.95,13.73,14.57,0.36,0.38,15,21,109.33,113.0,40.47,45.29,9.33,10.05,11.4,13.62,36
Denver Nuggets,32.06,30.4,10.53,12.65,0.33,0.42,17,20,108.94,128.45,43.29,46.45,8.18,8.95,14.41,14.95,37
Los Angeles Lakers,33.39,34.95,10.44,12.75,0.31,0.37,18,20,102.94,117.75,41.17,43.2,7.89,7.8,15.33,11.8,38
Milwaukee Bucks,36.12,38.26,12.88,15.79,0.36,0.42,17,19,104.24,115.89,43.35,44.42,7.12,8.47,14.65,13.47,36
San Antonio Spurs,39.0,39.32,12.42,14.42,0.32,0.37,19,19,105.74,117.53,44.37,45.05,7.0,8.74,15.74,13.05,38
Minnesota Timberwolves,40.39,40.84,14.0,16.05,0.35,0.39,18,19,107.17,114.16,42.83,44.47,7.83,9.0,16.06,14.21,37
Atlanta Hawks,38.26,36.79,12.58,13.84,0.33,0.37,19,19,110.68,122.95,45.05,46.58,9.74,11.11,17.0,14.89,38
Indiana Pacers,33.8,34.94,11.55,14.11,0.34,0.41,20,18,109.6,122.28,39.1,44.72,8.25,8.44,15.9,11.78,38
Detroit Pistons,37.0,36.17,12.45,13.83,0.34,0.38,20,18,107.3,115.39,42.65,46.78,6.8,8.22,15.3,15.44,38
Chicago Bulls,45.1,44.33,16.19,16.61,0.36,0.38,21,18,113.0,123.39,42.43,50.39,7.76,7.78,15.62,13.67,39
Phoenix Suns,37.68,40.17,13.16,15.89,0.35,0.39,19,18,108.74,115.5,41.84,44.5,8.26,7.83,15.0,12.06,37
Philadelphia 76ers,35.95,36.62,11.67,13.06,0.32,0.36,21,16,102.71,114.12,39.33,43.38,8.9,11.12,13.71,14.06,37
Sacramento Kings,36.0,33.87,10.71,12.73,0.29,0.37,24,15,108.54,120.33,43.04,45.6,8.96,8.07,14.08,12.87,39
Portland Trail Blazers,36.55,34.71,11.05,12.93,0.3,0.37,22,14,103.32,116.0,42.36,46.0,7.41,10.5,16.32,14.79,36
Brooklyn Nets,39.25,39.69,13.92,15.31,0.35,0.38,24,13,105.0,114.46,38.12,40.77,7.25,8.08,14.58,12.92,37
Toronto Raptors,33.43,34.0,10.86,13.18,0.33,0.38,28,11,108.07,121.45,44.46,47.45,7.5,8.64,15.54,18.09,39
Utah Jazz,39.07,34.36,13.44,14.27,0.35,0.41,27,11,107.22,119.64,43.15,48.82,6.48,8.0,17.96,18.64,38
Charlotte Hornets,42.29,43.0,14.29,16.33,0.34,0.39,28,9,104.21,115.56,45.39,49.0,7.89,8.0,15.82,16.44,37
Washington Wizards,36.36,40.75,11.18,16.62,0.3,0.41,28,8,104.39,121.0,43.82,42.62,7.43,8.75,16.36,16.25,36
