Win_Loss,Game_Count,Points,FG3M,FG3A,FG3_PCT,REB,STL,TOV,TEAM_NAME
W,28,120.04,14.43,36.89,0.39,45.64,8.18,11.89,New York Knicks
L,11,110.73,11.73,35.18,0.33,38.82,7.09,12.64,New York Knicks
W,11,119.64,14.27,34.36,0.41,48.82,8.0,18.64,Utah Jazz
L,27,107.22,13.44,39.07,0.35,43.15,6.48,17.96,Utah Jazz
W,18,115.39,13.83,36.17,0.38,46.78,8.22,15.44,Detroit Pistons
L,20,107.3,12.45,37.0,0.34,42.65,6.8,15.3,Detroit Pistons
W,8,121.0,16.62,40.75,0.41,42.62,8.75,16.25,Washington Wizards
L,28,104.39,11.18,36.36,0.3,43.82,7.43,16.36,Washington Wizards
W,19,122.95,13.84,36.79,0.37,46.58,11.11,14.89,Atlanta Hawks
L,19,110.68,12.58,38.26,0.33,45.05,9.74,17.0,Atlanta Hawks
W,21,121.05,14.0,35.24,0.39,47.48,9.14,14.24,Dallas Mavericks
L,17,108.53,12.0,34.76,0.34,40.65,7.76,14.53,Dallas Mavericks
W,25,117.8,12.12,36.0,0.33,51.4,8.84,13.68,Houston Rockets
L,12,105.17,11.67,37.92,0.31,45.83,8.25,12.67,Houston Rockets
W,11,121.45,13.18,34.0,0.38,47.45,8.64,18.09,Toronto Raptors
L,28,108.07,10.86,33.43,0.33,44.46,7.5,15.54,Toronto Raptors
W,18,123.39,16.61,44.33,0.38,50.39,7.78,13.67,Chicago Bulls
L,21,113.0,16.19,45.1,0.36,42.43,7.76,15.62,Chicago Bulls
W,21,113.0,14.57,38.95,0.38,45.29,10.05,13.62,Miami Heat
L,15,109.33,13.73,38.33,0.36,40.47,9.33,11.4,Miami Heat
W,13,114.46,15.31,39.69,0.38,40.77,8.08,12.92,Brooklyn Nets
L,24,105.0,13.92,39.25,0.35,38.12,7.25,14.58,Brooklyn Nets
W,15,120.33,12.73,33.87,0.37,45.6,8.07,12.87,Sacramento Kings
L,24,108.54,10.71,36.0,0.29,43.04,8.96,14.08,Sacramento Kings
W,16,114.12,13.06,36.62,0.36,43.38,11.12,14.06,Philadelphia 76ers
L,21,102.71,11.67,35.95,0.32,39.33,8.9,13.71,Philadelphia 76ers
W,20,128.45,12.65,30.4,0.42,46.45,8.95,14.95,Denver Nuggets
L,17,108.94,10.53,32.06,0.33,43.29,8.18,14.41,Denver Nuggets
W,21,111.86,12.67,37.29,0.34,43.76,9.57,13.9,Orlando Magic
L,17,97.82,9.35,35.88,0.26,39.47,9.53,16.35,Orlando Magic
W,19,117.53,14.42,39.32,0.37,45.05,8.74,13.05,San Antonio Spurs
L,19,105.74,12.42,39.0,0.32,44.37,7.0,15.74,San Antonio Spurs
W,23,113.65,12.65,32.57,0.39,43.83,10.61,15.48,LA Clippers
L,15,100.47,11.33,35.67,0.32,43.93,9.67,15.93,LA Clippers
W,19,114.16,16.05,40.84,0.39,44.47,9.0,14.21,Minnesota Timberwolves
L,18,107.17,14.0,40.39,0.35,42.83,7.83,16.06,Minnesota Timberwolves
W,18,122.28,14.11,34.94,0.41,44.72,8.44,11.78,Indiana Pacers
L,20,109.6,11.55,33.8,0.34,39.1,8.25,15.9,Indiana Pacers
W,31,115.19,13.48,38.65,0.35,44.68,12.26,11.42,Oklahoma City Thunder
L,7,110.14,12.86,41.43,0.31,43.14,9.57,10.71,Oklahoma City Thunder
W,19,115.89,15.79,38.26,0.42,44.42,8.47,13.47,Milwaukee Bucks
L,17,104.24,12.88,36.12,0.36,43.35,7.12,14.65,Milwaukee Bucks
W,28,121.68,19.36,50.54,0.38,45.96,8.0,11.5,Boston Celtics
L,10,115.0,16.7,51.2,0.33,44.3,7.8,11.6,Boston Celtics
W,26,127.73,15.77,40.0,0.39,49.31,9.35,16.38,Memphis Grizzlies
L,13,110.54,11.31,36.77,0.31,47.54,8.92,18.31,Memphis Grizzlies
W,18,115.5,15.89,40.17,0.39,44.5,7.83,12.06,Phoenix Suns
L,19,108.74,13.16,37.68,0.35,41.84,8.26,15.0,Phoenix Suns
W,20,117.75,12.75,34.95,0.37,43.2,7.8,11.8,Los Angeles Lakers
L,18,102.94,10.44,33.39,0.31,41.17,7.89,15.33,Los Angeles Lakers
W,29,123.55,16.93,40.72,0.42,44.31,9.31,12.76,Cleveland Cavaliers
L,8,114.12,12.25,39.12,0.32,44.25,8.12,13.12,Cleveland Cavaliers
W,22,117.18,15.68,41.0,0.38,48.86,8.73,13.73,Golden State Warriors
L,16,104.12,14.12,42.06,0.33,44.69,9.0,14.44,Golden State Warriors
W,9,115.56,16.33,43.0,0.39,49.0,8.0,16.44,Charlotte Hornets
L,28,104.21,14.29,42.29,0.34,45.39,7.89,15.82,Charlotte Hornets
W,14,116.0,12.93,34.71,0.37,46.0,10.5,14.79,Portland Trail Blazers
L,22,103.32,11.05,36.55,0.3,42.36,7.41,16.32,Portland Trail Blazers
